"Open Seat ID","Client Name","Open Seat Title","Est Strt Dt","Candidate Track Type","Fulfillment Action","Fieldglass Flag","Flags"
"5788850","VENTIA AUSTRALIA PTY LTD","ISM_B053 - Integration Consultant 5","","Roll-off being pursued","To Be Validated","","EST Non Compliant"
"5788854","VENTIA AUSTRALIA PTY LTD","ISM_B052 - Integration Consultant 4","","Roll-off being pursued","To Be Validated","","EST Non Compliant"
"5790304","Hubs Inc.","Application Developer : Fullstack","","Roll-off being pursued","To Be Validated","","EST Non Compliant"
"5790342","BROTHER INTERNATIONAL CORP","Package Consultant-Commerce Transfo","","Candidate identified","To Be Validated","","EST Non Compliant"
"5790348","Hubs Inc.","BF ATT 5744673 Kirubakaran Subraman","","Roll-off being pursued","To Be Validated","","EST Non Compliant"
"5790734","Rosneft Deutschland GmbH","Package Consultant-SAP BW HANA Anal","","Candidate identified","To Be Validated","","EST Non Compliant"
"5791134","General Motors","UKG Tester","","Actively searching","To Be Validated","Y","EST Non Compliant"
"5791256","JUNIPER United States","Package Specialist     SAP BW Analy","","Actively searching","To Be Validated","","EST Non Compliant"
"5791293","Saudi Arabian Mining Company","Application Developer-Oracle Cloud ","","Actively searching","To Be Validated","","EST Non Compliant"
"5791294","Saudi Arabian Mining Company","Oracle SCM cloud - Procurement-GH","","Actively searching","To Be Validated","","EST Non Compliant | Comment Non Compliant"
"5791328","NAVBLUE SKYWISE","Data Engineer","","Candidate identified","To Be Validated","","EST Non Compliant"
"5791344","Rush Enterprise","Project Manager-SAP HANA","","Actively searching","To Be Validated","","EST Non Compliant"
